ETF,Index,Exchange,YahooFinance,min_date
EUF,VGK,NYSEARCA,VGK,1/1/2018
EMF,VWO,NYSEARCA,VWO,1/1/2019
USF,VOO,NYSEARCA,VOO,1/1/2018
USM,VO,NYSEARCA,VO,6/1/2020
USG,VUG,NYSEARCA,VUG,6/10/2019
APA,VPL,NYSEARCA,VPL,7/1/2018
TWF,VT,NYSEARCA,VT,6/1/2019
USV,VTV,NYSEARCA,VTV,6/1/2020
USS,VB,NYSEARCA,VB,1/1/2021
EUG,SAEU,LON,SAEU.L,9/1/2020
EMG,SAEM,LON,SAEM.L,2/1/2020
JPN,SAJP,LON,SAJP.L,8/1/2020
USA,SASU,LON,SASU.L,3/1/2020
BOT,RBOT,LON,RBOT.L,3/1/2020
ESG,SAWD,LON,SAWD.L,11/1/2019
LIV,HEAL,LON,HEAL.L,3/1/2020
